City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max_temp,Windspeed
Trairi,BR,1555819032,100,97,-3.28,-39.27,73.72,1.57
Port Lincoln,AU,1555819260,15,64,-34.72,135.86,61.32,14.05
Bluff,AU,1555819261,68,52,-23.58,149.07,82.34,15.75
Caluquembe,AO,1555819261,94,95,-13.78,14.68,61.95,2.19
Lavrentiya,RU,1555819261,87,85,65.58,-170.99,1.97,4.36
Taksimo,RU,1555819261,83,35,56.36,114.84,25.25,7.94
Tuktoyaktuk,CA,1555815600,75,92,69.44,-133.03,21.2,8.05
Port Hedland,AU,1555817400,100,23,-20.31,118.58,82.4,17.22
Guanica,PR,1555819244,0,79,17.97,-66.91,77.0,6.46
Molchanovo,RU,1555819262,86,69,57.58,83.76,27.55,8.5
Santa Clara,CU,1555815540,20,78,22.41,-79.97,71.6,2.24
Malanje,AO,1555819264,100,99,-9.54,16.35,67.42,1.34
Senekal,ZA,1555819264,100,70,-28.32,27.62,56.17,2.98
Cherskiy,RU,1555819264,0,81,68.75,161.3,9.44,2.17
Tuatapere,NZ,1555819208,24,80,-46.13,167.69,55.99,7.0
Rikitea,PF,1555819265,2,79,-23.12,-134.97,78.71,10.87
Bambous Virieux,MU,1555819144,75,83,-20.34,57.76,80.01,16.11
Albany,US,1555819198,90,59,42.65,-73.75,62.6,16.11
Bilibino,RU,1555819265,29,90,68.06,166.44,4.82,4.27
Torbay,CA,1555819264,90,100,47.66,-52.73,37.0,8.05
Saint-Michel-des-Saints,CA,1555819266,100,99,46.68,-73.92,39.14,5.91
Klaksvik,FO,1555818600,34,81,62.23,-6.59,42.8,2.24
Taltal,CL,1555819266,0,71,-25.41,-70.49,61.79,3.06
Iqaluit,CA,1555818765,75,77,63.75,-68.52,3.2,3.06
Flin Flon,CA,1555819267,99,75,54.77,-101.88,38.21,8.21
Mataura,NZ,1555819208,11,80,-46.19,168.86,55.99,3.69
Savelugu,GH,1555819268,80,53,9.63,-0.83,87.58,14.72
Atuona,PF,1555819268,0,75,-9.8,-139.03,83.23,12.33
Broome,GB,1555819265,0,93,52.47,1.45,50.0,2.24
Vaini,IN,1555815600,40,69,15.34,74.49,77.0,4.7
Ushuaia,AR,1555815600,75,81,-54.81,-68.31,44.6,27.51
Chicama,PE,1555815600,0,78,-7.84,-79.15,71.6,6.93
Lagoa,PT,1555818742,0,71,37.14,-8.45,57.2,8.05
Arraial do Cabo,BR,1555819269,0,86,-22.97,-42.02,73.94,5.19
Sept-Iles,CA,1555818330,90,95,50.2,-66.38,37.99,11.41
Punta Arenas,CL,1555818790,40,81,-53.16,-70.91,48.2,23.04
Victoria,BN,1555817400,75,66,5.28,115.24,89.6,3.36
Grootfontein,NA,1555819270,0,59,-19.56,18.1,62.78,5.99
Riyadh,SA,1555815600,40,46,24.63,46.72,69.8,6.93
Kolokani,ML,1555819271,77,19,13.58,-8.03,90.89,3.69
Mezhdurechensk,RU,1555819271,100,64,53.69,88.07,36.43,7.23
Marsassoum,SN,1555815600,0,94,12.83,-15.98,68.0,4.7
Ayorou,NE,1555819271,0,10,14.73,0.92,82.52,4.12
Hobart,AU,1555818720,0,47,-42.88,147.33,80.01,9.17
San Juan,PR,1555819251,75,74,18.47,-66.12,78.8,4.7
Oktyabrskoye,RU,1555819243,40,70,56.73,85.44,37.0,8.95
Tsaratanana,MG,1555819275,0,85,-16.8,47.65,66.76,9.66
Karakulino,RU,1555819276,60,70,56.01,53.71,37.65,3.33
Piranshahr,IR,1555819276,1,80,36.7,45.14,28.02,4.72
Bairnsdale,AU,1555819205,100,45,-37.83,147.63,84.0,1.99
East London,ZA,1555815600,0,67,-33.02,27.91,60.8,11.41
Coleraine,GB,1555816800,100,87,55.13,-6.67,48.2,9.51
Villa de Reyes,MX,1555814460,5,22,21.8,-100.93,68.0,5.82
Norman Wells,CA,1555815600,40,56,65.28,-126.83,41.0,5.82
Hithadhoo,MV,1555819278,100,78,-0.6,73.08,84.47,16.96
Butaritari,KI,1555819278,36,75,3.07,172.79,84.29,12.17
Almeirim,PT,1555819277,0,71,39.21,-8.63,59.0,6.93
Chara,GR,1555816800,40,93,39.42,22.43,41.0,4.7
Tarakan,ID,1555815600,40,70,3.3,117.63,87.8,4.7
